Date,Close,Open,High,Low,Volume,Type
2018-09-10,1271.6,1271.6,1271.6,1271.6,10.0,Gold
2018-09-11,1274.4,1274.4,1274.4,1274.4,20.0,Gold
2018-09-12,1283.9,1269.6,1271.0,1269.5,20.0,Gold
2018-09-13,1281.0,1281.0,1281.0,1281.0,20.0,Gold
2018-09-14,1273.8,1273.8,1273.8,1273.8,0.0,Gold
2018-09-17,1278.4,1278.4,1278.4,1278.4,40.0,Gold
2018-09-18,1275.7,1275.7,1275.7,1275.7,30.0,Gold
2018-09-19,1281.5,1281.5,1281.5,1281.5,10.0,Gold
2018-09-20,1284.4,1284.4,1284.4,1284.4,10.0,Gold
2018-09-21,1274.3,1274.3,1274.3,1274.3,40.0,Gold
2018-09-24,1277.4,1277.4,1277.4,1277.4,10.0,Gold
2018-09-25,1278.2,1278.2,1278.2,1278.2,20.0,Gold
2018-09-26,1271.8,1271.8,1271.8,1271.8,0.0,Gold
2018-09-27,1259.8,1260.0,1260.0,1260.0,0.0,Gold
2018-09-28,1268.7,1270.0,1270.0,1270.0,0.0,Gold
2018-10-01,1264.4,1264.4,1264.4,1264.4,180.0,Gold
2018-10-02,1280.7,1280.7,1280.7,1280.7,0.0,Gold
2018-10-03,1276.7,1276.7,1276.7,1276.7,80.0,Gold
2018-10-04,1275.5,1275.5,1275.5,1275.5,0.0,Gold
2018-10-05,1280.2,1280.2,1280.2,1280.2,10.0,Gold
2018-10-08,1262.9,1262.9,1262.9,1262.9,40.0,Gold
2018-10-09,1265.8,1265.8,1265.8,1265.8,10.0,Gold
2018-10-10,1267.7,1267.7,1267.7,1267.7,60.0,Gold
2018-10-11,1302.3,1271.2,1271.2,1271.2,0.0,Gold
2018-10-12,1296.3,1296.3,1296.3,1296.3,120.0,Gold
2018-10-15,1305.4,1305.4,1305.4,1305.4,140.0,Gold
2018-10-16,1305.8,1305.8,1305.8,1305.8,50.0,Gold
2018-10-17,1301.9,1301.9,1301.9,1301.9,10.0,Gold
2018-10-18,1305.1,1305.1,1305.1,1305.1,170.0,Gold
2018-10-19,1303.8,1303.8,1303.8,1303.8,60.0,Gold
2018-10-22,1299.8,1299.8,1299.8,1299.8,20.0,Gold
2018-10-23,1312.0,1312.0,1312.0,1312.0,30.0,Gold
2018-10-24,1305.5,1305.5,1305.5,1305.5,10.0,Gold
2018-10-25,1306.7,1306.7,1306.7,1306.7,0.0,Gold
2018-10-26,1309.7,1309.7,1309.7,1309.7,50.0,Gold
2018-10-29,1301.1,1301.1,1301.1,1301.1,0.0,Gold
2018-10-30,1298.9,1296.7,1296.7,1296.7,0.0,Gold
2018-10-31,1288.2,1291.1,1291.1,1291.1,0.0,Gold
2018-11-01,1312.2,1312.2,1312.2,1312.2,10.0,Gold
2018-11-02,1307.3,1307.3,1307.3,1307.3,0.0,Gold
2018-11-05,1306.4,1306.4,1306.4,1306.4,50.0,Gold
2018-11-06,1300.4,1300.4,1300.4,1300.4,10.0,Gold
2018-11-07,1302.8,1302.8,1302.8,1302.8,0.0,Gold
2018-11-08,1299.3,1299.3,1299.3,1299.3,0.0,Gold
2018-11-09,1282.2,1282.2,1282.2,1282.2,80.0,Gold
2018-11-12,1276.8,1276.8,1276.8,1276.8,30.0,Gold
2018-11-13,1274.7,1274.7,1274.7,1274.7,10.0,Gold
2018-11-14,1283.2,1283.2,1283.2,1283.2,330.0,Gold
2018-11-15,1287.6,1287.6,1287.6,1287.6,10.0,Gold
2018-11-16,1294.9,1294.9,1294.9,1294.9,0.0,Gold
2018-11-19,1297.5,1297.5,1297.5,1297.5,100.0,Gold
2018-11-20,1293.4,1293.4,1293.4,1293.4,10.0,Gold
2018-11-21,1300.8,1300.8,1300.8,1300.8,340.0,Gold
2018-11-22,1228.0,1226.4,1229.7,1225.5,0.0,Gold
2018-11-23,1296.1,1296.1,1296.1,1296.1,60.0,Gold
2018-11-26,1295.8,1295.8,1295.8,1295.8,0.0,Gold
2018-11-27,1286.5,1286.5,1286.5,1286.5,10.0,Gold
2018-11-28,1296.4,1296.4,1296.4,1296.4,0.0,Gold
2018-11-29,1297.0,1297.0,1297.0,1297.0,0.0,Gold
2018-11-30,1292.7,1289.7,1289.7,1289.7,0.0,Gold
2018-12-03,1306.4,1306.4,1306.4,1306.4,50.0,Gold
2018-12-04,1313.6,1313.6,1313.6,1313.6,20.0,Gold
2018-12-05,1309.6,1309.6,1309.6,1309.6,0.0,Gold
2018-12-06,1310.2,1313.9,1313.9,1309.5,0.0,Gold
2018-12-07,1319.5,1319.5,1319.5,1319.5,0.0,Gold
2018-12-10,1314.8,1314.8,1314.8,1314.8,90.0,Gold
2018-12-11,1312.9,1312.9,1312.9,1312.9,0.0,Gold
