Date,Close,Open,High,Low,Volume
2018-01-13,64.16,63.78,64.6,63.14,725988.0
2018-01-14,64.02,64.0,64.69,63.22,773249.0
2018-01-15,63.87,64.22,64.79,63.31,820510.0
2018-01-16,63.73,64.43,64.89,63.39,867771.0
2018-01-17,63.97,63.89,64.17,63.31,444384.0
2018-01-18,63.95,64.07,64.35,63.47,204504.0
2018-01-19,63.37,63.74,63.77,62.85,142711.0
2018-01-20,63.41,63.7,63.89,62.96,303694.67
2018-01-21,63.45,63.65,64.02,63.06,464678.33
2018-01-22,63.49,63.61,64.14,63.17,625662.0
2018-01-23,64.47,63.88,64.88,63.7,662456.0
2018-01-24,65.61,64.42,66.05,64.34,887018.0
2018-01-25,65.51,65.88,66.66,65.08,771758.0
2018-01-26,66.14,65.25,66.35,64.91,678186.0
2018-01-27,65.95,65.56,66.39,64.93,670846.67
2018-01-28,65.75,65.87,66.42,64.96,663507.33
2018-01-29,65.56,66.18,66.46,64.98,656168.0
2018-01-30,64.5,65.53,65.56,63.89,688380.0
2018-01-31,64.73,64.03,64.94,63.67,613258.0
2018-02-01,65.8,64.76,66.25,64.63,685750.0
2018-02-02,65.45,65.99,66.3,64.47,857572.0
2018-02-03,65.02,65.69,66.0,64.12,868735.67
2018-02-04,64.58,65.4,65.7,63.77,879899.33
2018-02-05,64.15,65.1,65.4,63.42,891063.0
2018-02-06,63.39,63.43,64.29,63.12,797814.0
2018-02-07,61.79,63.92,64.18,61.25,1029408.0
2018-02-08,61.15,61.7,62.09,60.27,929578.0
2018-02-09,59.2,60.43,60.77,58.07,933307.0
2018-02-10,59.23,59.99,60.79,58.41,867843.67
2018-02-11,59.26,59.56,60.81,58.76,802380.33
2018-02-12,59.29,59.12,60.83,59.1,736917.0
2018-02-13,59.19,59.35,59.73,58.39,580600.0
2018-02-14,60.6,58.98,60.9,58.2,650324.0
2018-02-15,61.34,60.71,61.64,59.72,340401.0
2018-02-16,61.68,61.45,61.99,60.88,181179.0
2018-02-17,61.74,61.5,62.18,61.06,334504.5
2018-02-18,61.79,61.54,62.37,61.23,487830.0
2018-02-19,61.85,61.59,62.55,61.41,641155.5
2018-02-20,61.9,61.63,62.74,61.58,794481.0
2018-02-21,61.68,61.63,61.86,60.92,466924.0
2018-02-22,62.77,61.34,63.09,60.75,592603.0
2018-02-23,63.55,62.6,63.73,62.33,460597.0
2018-02-24,63.67,62.93,63.9,62.57,463682.33
2018-02-25,63.79,63.27,64.07,62.82,466767.67
2018-02-26,63.91,63.6,64.24,63.06,469853.0
2018-02-27,63.01,64.06,64.08,62.64,562670.0
2018-02-28,61.64,62.79,63.44,61.36,768409.0
2018-03-01,60.99,61.55,61.83,60.18,812505.0
2018-03-02,61.25,61.34,61.6,60.13,613514.0
2018-03-03,61.69,61.41,62.0,60.45,608764.67
2018-03-04,62.13,61.48,62.39,60.78,604015.33
2018-03-05,62.57,61.55,62.79,61.1,599266.0
2018-03-06,62.6,62.58,63.28,62.17,634953.0
