Date,Close,Type
2016-12-14,2253.28,SP500
2016-12-15,2262.03,SP500
2016-12-16,2258.07,SP500
2016-12-19,2262.53,SP500
2016-12-20,2270.76,SP500
2016-12-21,2265.18,SP500
2016-12-22,2260.96,SP500
2016-12-23,2263.79,SP500
2016-12-27,2268.88,SP500
2016-12-28,2249.92,SP500
2016-12-29,2249.26,SP500
2016-12-30,2238.83,SP500
2017-01-03,2257.83,SP500
2017-01-04,2270.75,SP500
2017-01-05,2269.0,SP500
2017-01-06,2276.98,SP500
2017-01-09,2268.9,SP500
2017-01-10,2268.9,SP500
2017-01-11,2275.32,SP500
2017-01-12,2270.44,SP500
2017-01-13,2274.64,SP500
2017-01-17,2267.89,SP500
2017-01-18,2271.89,SP500
2017-01-19,2263.69,SP500
2017-01-20,2271.31,SP500
2017-01-23,2265.2,SP500
2017-01-24,2280.07,SP500
2017-01-25,2298.37,SP500
2017-01-26,2296.68,SP500
2017-01-27,2294.69,SP500
2017-01-30,2280.9,SP500
2017-01-31,2278.87,SP500
2017-02-01,2279.55,SP500
2017-02-02,2280.85,SP500
2017-02-03,2297.42,SP500
2017-02-06,2292.56,SP500
2017-02-07,2293.08,SP500
2017-02-08,2294.67,SP500
2017-02-09,2307.87,SP500
2017-02-10,2316.1,SP500
2017-02-13,2328.25,SP500
2017-02-14,2337.58,SP500
2017-02-15,2349.25,SP500
2017-02-16,2347.22,SP500
2017-02-17,2351.16,SP500
2017-02-21,2365.38,SP500
2017-02-22,2362.82,SP500
2017-02-23,2363.81,SP500
2017-02-24,2367.34,SP500
2017-02-27,2369.75,SP500
2017-02-28,2363.64,SP500
2017-03-01,2395.96,SP500
2017-03-02,2381.92,SP500
2017-03-03,2383.12,SP500
2017-03-06,2375.31,SP500
2017-03-07,2368.39,SP500
2017-03-08,2362.98,SP500
2017-03-09,2364.87,SP500
2017-03-10,2372.6,SP500
2017-03-13,2373.47,SP500
2017-03-14,2365.45,SP500
2017-03-15,2385.26,SP500
2017-03-16,2381.38,SP500
2017-03-17,2378.25,SP500
2017-03-20,2373.47,SP500
2017-03-21,2344.02,SP500
2017-03-22,2348.45,SP500
2017-03-23,2345.96,SP500
2017-03-24,2343.98,SP500
2017-03-27,2341.59,SP500
2017-03-28,2358.57,SP500
2017-03-29,2361.13,SP500
2017-03-30,2368.06,SP500
2017-03-31,2362.72,SP500
2017-04-03,2358.84,SP500
2017-04-04,2360.16,SP500
2017-04-05,2352.95,SP500
2017-04-06,2357.49,SP500
2017-04-07,2355.54,SP500
2017-04-10,2357.16,SP500
2017-04-11,2353.78,SP500
2017-04-12,2344.93,SP500
2017-04-13,2328.95,SP500
2017-04-17,2349.01,SP500
2017-04-18,2342.19,SP500
2017-04-19,2338.17,SP500
2017-04-20,2355.84,SP500
2017-04-21,2348.69,SP500
2017-04-24,2374.15,SP500
2017-04-25,2388.61,SP500
2017-04-26,2387.45,SP500
2017-04-27,2388.77,SP500
2017-04-28,2384.2,SP500
2017-05-01,2388.33,SP500
2017-05-02,2391.17,SP500
2017-05-03,2388.13,SP500
2017-05-04,2389.52,SP500
2017-05-05,2399.29,SP500
2017-05-08,2399.38,SP500
2017-05-09,2396.92,SP500
2017-05-10,2399.63,SP500
2017-05-11,2394.44,SP500
2017-05-12,2390.9,SP500
2017-05-15,2402.32,SP500
2017-05-16,2400.67,SP500
2017-05-17,2357.03,SP500
2017-05-18,2365.72,SP500
2017-05-19,2381.73,SP500
2017-05-22,2394.02,SP500
2017-05-23,2398.42,SP500
2017-05-24,2404.39,SP500
2017-05-25,2415.07,SP500
2017-05-26,2415.82,SP500
2017-05-30,2412.91,SP500
2017-05-31,2411.8,SP500
2017-06-01,2430.06,SP500
2017-06-02,2439.07,SP500
2017-06-05,2436.1,SP500
2017-06-06,2429.33,SP500
2017-06-07,2433.14,SP500
2017-06-08,2433.79,SP500
2017-06-09,2431.77,SP500
2017-06-12,2429.39,SP500
2017-06-13,2440.35,SP500
2017-06-14,2437.92,SP500
2017-06-15,2432.46,SP500
2017-06-16,2433.15,SP500
2017-06-19,2453.46,SP500
2017-06-20,2437.03,SP500
2017-06-21,2435.61,SP500
2017-06-22,2434.5,SP500
2017-06-23,2438.3,SP500
2017-06-26,2439.07,SP500
2017-06-27,2419.38,SP500
2017-06-28,2440.69,SP500
2017-06-29,2419.7,SP500
2017-06-30,2423.41,SP500
2017-07-03,2429.01,SP500
2017-07-05,2432.54,SP500
2017-07-06,2409.75,SP500
2017-07-07,2425.18,SP500
